program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital
CENTRAL SERVICES,CUSTODIAL SERVICES,AGS,AGS,Operating,A,2026,25792541.0,,,,Government Operations,,,General Fund,25.792541,False
CENTRAL SERVICES,CEMETERY MANAGEMENT OFFICE,AGS,AGS,Operating,A,2026,1088500.0,,,,Government Operations,,,General Fund,1.0885,False
CENTRAL SERVICES - CUSTODIAL SERVICES,CENTRAL SERVICES - CUSTODIAL SERVICES,AGS,AGS,Operating,U,2026,1699084.0,,,,Government Operations,,,Other Funds,1.699084,False
CHARTER SCHOOLS,CHARTER SCHOOLS,EDN,EDN,Operating,A,2026,5042000.0,,,,Education,,,General Fund,5.042,False
CHARTER SCHOOLS COMMISSION AND ADMINISTRATION,CHARTER SCHOOLS COMMISSION AND ADMINISTRATION,EDN,EDN,Operating,A,2026,1800000.0,,,,Education,,,General Fund,1.8,False
CHILD AND ADOLESCENT MENTAL HEALTH,CHILD AND ADOLESCENT MENTAL HEALTH,HTH,HTH,Operating,B,2026,15375579.0,,,,Health,,,Special Funds,15.375579,False
CHILD AND ADOLESCENT MENTAL HEALTH,CHILD AND ADOLESCENT MENTAL HEALTH,HTH,HTH,Operating,A,2026,2339630.0,,,,Health,,,General Fund,2.33963,False
CHILD AND ADOLESCENT MENTAL HEALTH,CHILD AND ADOLESCENT MENTAL HEALTH,HTH,HTH,Operating,U,2026,2281992.0,,,,Health,,,Other Funds,2.281992,False
CHILD PROTECTIVE SERVICES,CHILD PROTECTIVE SERVICES,HMS,HMS,Operating,B,2026,6124053.0,,,,Human Services,,,Special Funds,6.124053,False
CHILD PROTECTIVE SERVICES,CHILD PROTECTIVE SERVICES,HMS,HMS,Operating,A,2026,49452950.0,,,,Human Services,,,General Fund,49.45295,False
CHILD PROTECTIVE SERVICES,CHILD PROTECTIVE SERVICES,HMS,HMS,Operating,B,2026,400000.0,,,,Human Services,,,Special Funds,0.4,False
CHILD PROTECTIVE SERVICES PAYMENTS,CHILD PROTECTIVE SERVICES PAYMENTS,HMS,HMS,Operating,A,2026,31542000.0,,,,Human Services,,,General Fund,31.542,False
CHILD SUPPORT ENFORCEMENT SERVICES,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,ATG,Operating,B,2026,20006088.0,,,,Human Services,,,Special Funds,20.006088,False
CHILD SUPPORT ENFORCEMENT SERVICES,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,ATG,Operating,T,2026,2231224.0,,,,Human Services,,,Special Funds,2.231224,False
CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,HTH,HTH,Operating,B,2026,6740166.0,,,,Health,,,Special Funds,6.740166,False
CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,HTH,HTH,Operating,U,2026,1192408.0,,,,Health,,,Other Funds,1.192408,False
CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,HTH,HTH,Operating,B,2026,48706356.0,,,,Health,,,Special Funds,48.706356,False
CITY AND COUNTY OF HONOLULU,CITY AND COUNTY OF HONOLULU,CCH,CCH,Capital Improvement,B,2026,2000000.0,,,,Government Operations,,,Special Funds,2.0,True
COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,AGS,AGS,Capital Improvement,B,2026,8000000.0,,,,Health,,,Special Funds,8.0,True
COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,HTH,Operating,B,2026,5311894.0,,,,Health,,,Special Funds,5.311894,False
COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,HTH,Operating,U,2026,637849.0,,,,Health,,,Other Funds,0.637849,False
COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,HTH,Operating,A,2026,8827137.0,,,,Health,,,General Fund,8.827137,False
CONSERVATION AND RESOURCES ENFORCEMENT,CONSERVATION AND RESOURCES ENFORCEMENT,LNR,LNR,Operating,B,2026,100000.0,,,,Environment,,,Special Funds,0.1,False
CONSERVATION AND RESOURCES ENFORCEMENT,CONSERVATION AND RESOURCES ENFORCEMENT,LNR,LNR,Operating,B,2026,2021447.0,,,,Environment,,,Special Funds,2.021447,False
CONSERVATION AND RESOURCES ENFORCEMENT,CONSERVATION AND RESOURCES ENFORCEMENT,LNR,LNR,Operating,A,2026,958875.0,,,,Environment,,,General Fund,0.958875,False
CONSERVATION AND RESOURCES ENFORCEMENT,CONSERVATION AND RESOURCES ENFORCEMENT,LNR,LNR,Operating,W,2026,32671.0,,,,Environment,,,Special Funds,0.032671,False
CONSERVATION AND RESOURCES ENFORCEMENT,CONSERVATION AND RESOURCES ENFORCEMENT,LNR,LNR,Capital Improvement,B,2026,4450000.0,,,,Environment,,,Special Funds,4.45,True
CORRECTIONS PROGRAM SERVICES,CORRECTIONS PROGRAM SERVICES,PSD,PSD,Operating,A,2026,1045989.0,,,,Public Safety,,,General Fund,1.045989,False
COUNTY OF HAWAII,COUNTY OF HAWAII,COH,COH,Capital Improvement,B,2026,3500000.0,,,,Government Operations,,,Special Funds,3.5,True
COUNTY OF KAUAI,COUNTY OF KAUAI,COK,COK,Capital Improvement,B,2026,13000000.0,,,,Government Operations,,,Special Funds,13.0,True
CREATIVE INDUSTRIES DIVISION,CREATIVE INDUSTRIES DIVISION,BED,BED,Operating,B,2026,1080000.0,,,,Economic Development,,,Special Funds,1.08,False
CRIME VICTIM COMPENSATION COMMISSION,CRIME VICTIM COMPENSATION COMMISSION,PSD,PSD,Operating,B,2026,1186017.0,,,,Public Safety,,,Special Funds,1.186017,False
CRIME VICTIM COMPENSATION COMMISSION,CRIME VICTIM COMPENSATION COMMISSION,PSD,PSD,Operating,B,2026,859315.0,,,,Public Safety,,,Special Funds,0.859315,False
CRIMINAL INVESTIGATION DIVISION,CRIMINAL INVESTIGATION DIVISION,LAW,LAW,Operating,U,2026,731972.0,,,,Public Safety,,,Other Funds,0.731972,False
DANIEL K. INOUYE INTERNATIONAL AIRPORT,DANIEL K. INOUYE INTERNATIONAL AIRPORT,TRN,TRN,Capital Improvement,A,2026,1000.0,,,,Transportation,,,General Fund,0.001,True
DANIEL K. INOUYE INTERNATIONAL AIRPORT,DANIEL K. INOUYE INTERNATIONAL AIRPORT,TRN,TRN,Capital Improvement,A,2026,17061000.0,,,,Transportation,,,General Fund,17.061,True
DEBT SERVICE PAYMENTS,DOE,BUF,BUF,Operating,A,2026,446515250.0,,,,Education,,,General Fund,446.51525,False
DEBT SERVICE PAYMENTS,STATE,BUF,BUF,Operating,A,2026,668429515.0,,,,Government Operations,,,General Fund,668.429515,False
DEBT SERVICE PAYMENTS,UH,BUF,BUF,Operating,A,2026,165254696.0,,,,Education,,,General Fund,165.254696,False
DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,BUF,BUF,Operating,B,2026,427305000.0,,,,Government Operations,,,Special Funds,427.305,False
DEVELOPMENTAL DISABILITIES,DEVELOPMENTAL DISABILITIES,HTH,HTH,Operating,B,2026,7747738.0,,,,Health,,,Special Funds,7.747738,False
DEVELOPMENTAL DISABILITIES COUNCIL,DEVELOPMENTAL DISABILITIES COUNCIL,HTH,HTH,Operating,A,2026,527570.0,,,,Health,,,General Fund,0.52757,False
DISABILITY AND COMMUNICATIONS ACCESS BOARD,DISABILITY AND COMMUNICATIONS ACCESS BOARD,HTH,HTH,Operating,B,2026,2186855.0,,,,Human Services,,,Special Funds,2.186855,False
DISABILITY AND COMMUNICATIONS ACCESS BOARD,DISABILITY AND COMMUNICATIONS ACCESS BOARD,HTH,HTH,Operating,U,2026,314641.0,,,,Human Services,,,Other Funds,0.314641,False
DISABILITY COMPENSATION PROGRAM,DISABILITY COMPENSATION PROGRAM,LBR,LBR,Operating,T,2026,24157551.0,,,,Employment,,,Special Funds,24.157551,False
DISEASE OUTBREAK CONTROL,DISEASE OUTBREAK CONTROL,HTH,HTH,Operating,A,2026,20255445.0,,,,Health,,,General Fund,20.255445,False
DISEASE OUTBREAK CONTROL,DISEASE OUTBREAK CONTROL,HTH,HTH,Operating,B,2026,9378970.0,,,,Health,,,Special Funds,9.37897,False
EARLY LEARNING,EARLY LEARNING,EDN,EDN,Operating,B,2026,380000.0,,,,Education,,,Special Funds,0.38,False
EARLY LEARNING,EARLY LEARNING,EDN,EDN,Operating,A,2026,125628.0,,,,Education,,,General Fund,0.125628,False
EARLY LEARNING,EARLY LEARNING,EDN,EDN,Operating,B,2026,3000000.0,,,,Education,,,Special Funds,3.0,False
ECONOMIC PLANNING AND RESEARCH,ECONOMIC PLANNING AND RESEARCH,BED,BED,Operating,B,2026,864351.0,,,,Government Operations,,,Special Funds,0.864351,False
ECOSYSTEM PROTECTION AND RESTORATION,ECOSYSTEM PROTECTION AND RESTORATION,LNR,LNR,Capital Improvement,B,2026,1150000.0,,,,Environment,,,Special Funds,1.15,True
ECOSYSTEM PROTECTION AND RESTORATION,ECOSYSTEM PROTECTION AND RESTORATION,LNR,LNR,Operating,B,2026,4239054.0,,,,Environment,,,Special Funds,4.239054,False
ECOSYSTEM PROTECTION AND RESTORATION,ECOSYSTEM PROTECTION AND RESTORATION,LNR,LNR,Operating,A,2026,4864500.0,,,,Environment,,,General Fund,4.8645,False
ECOSYSTEM PROTECTION AND RESTORATION,ECOSYSTEM PROTECTION AND RESTORATION,LNR,LNR,Operating,B,2026,12537534.0,,,,Environment,,,Special Funds,12.537534,False
ELLISON ONIZUKA KONA INTERNATIONAL AIRPORT AT KEAHOLE,ELLISON ONIZUKA KONA INTERNATIONAL AIRPORT AT KEAHOLE,TRN,TRN,Capital Improvement,A,2026,137045000.0,,,,Transportation,,,General Fund,137.045,True
EMERGENCY MEDICAL SERVICES AND INJURY PREVENTION SYSTEM,EMERGENCY MEDICAL SERVICES AND INJURY PREVENTION SYSTEM,HTH,HTH,Operating,B,2026,22323419.0,,,,Health,,,Special Funds,22.323419,False
EMERGENCY MEDICAL SERVICES AND INJURY PREVENTION SYSTEM,EMERGENCY MEDICAL SERVICES AND INJURY PREVENTION SYSTEM,HTH,HTH,Operating,B,2026,420000.0,,,,Health,,,Special Funds,0.42,False
EMPLOYMENT AND TRAINING,EMPLOYMENT AND TRAINING,HMS,HMS,Operating,A,2026,2575945.0,,,,Human Services,,,General Fund,2.575945,False
ENTERPRISE TECHNOLOGY SERVICES,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,U,2026,6315295.0,,,,Government Operations,,,Other Funds,6.315295,False
ENTERPRISE TECHNOLOGY SERVICES,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Capital Improvement,B,2026,4000000.0,,,,Government Operations,,,Special Funds,4.0,True
ENTERPRISE TECHNOLOGY SERVICES,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,B,2026,2578244.0,,,,Government Operations,,,Special Funds,2.578244,False
ENVIRONMENTAL HEALTH ADMINISTRATION,ENVIRONMENTAL HEALTH ADMINISTRATION,HTH,HTH,Operating,A,2026,189937.0,,,,Environment,,,General Fund,0.189937,False
ENVIRONMENTAL HEALTH ADMINISTRATION,ENVIRONMENTAL HEALTH ADMINISTRATION,HTH,HTH,Operating,B,2026,2330057.0,,,,Environment,,,Special Funds,2.330057,False
ENVIRONMENTAL HEALTH ADMINISTRATION,ENVIRONMENTAL HEALTH ADMINISTRATION,HTH,HTH,Operating,W,2026,2826328.0,,,,Environment,,,Special Funds,2.826328,False
ENVIRONMENTAL HEALTH SERVICES,ENVIRONMENTAL HEALTH SERVICES,HTH,HTH,Operating,A,2026,158000.0,,,,Health,,,General Fund,0.158,False
ENVIRONMENTAL HEALTH SERVICES,ENVIRONMENTAL HEALTH SERVICES,HTH,HTH,Operating,B,2026,4487489.0,,,,Health,,,Special Funds,4.487489,False
ENVIRONMENTAL HEALTH SERVICES,ENVIRONMENTAL HEALTH SERVICES,HTH,HTH,Operating,U,2026,271269.0,,,,Health,,,Other Funds,0.271269,False
ENVIRONMENTAL HEALTH SERVICES,ENVIRONMENTAL HEALTH SERVICES,HTH,HTH,Operating,B,2026,396994.0,,,,Health,,,Special Funds,0.396994,False
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Operating,B,2026,80891943.0,,,,Environment,,,Special Funds,80.891943,False
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Capital Improvement,A,2026,54964000.0,,,,Environment,,,General Fund,54.964,True
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Capital Improvement,B,2026,10995000.0,,,,Environment,,,Special Funds,10.995,True
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Operating,B,2026,8889111.0,,,,Environment,,,Special Funds,8.889111,False
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Operating,W,2026,260514599.0,,,,Environment,,,Special Funds,260.514599,False
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Operating,U,2026,3013024.0,,,,Environment,,,Other Funds,3.013024,False
ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT,HTH,HTH,Operating,A,2026,4064084.0,,,,Environment,,,General Fund,4.064084,False
EXECUTIVE OFFICE ON AGING,EXECUTIVE OFFICE ON AGING,HTH,HTH,Operating,A,2026,10405377.0,,,,Human Services,,,General Fund,10.405377,False
EXECUTIVE OFFICE ON AGING,EXECUTIVE OFFICE ON AGING,HTH,HTH,Operating,B,2026,1223791.0,,,,Human Services,,,Special Funds,1.223791,False
FAMILY HEALTH SERVICES,FAMILY HEALTH SERVICES,HTH,HTH,Operating,B,2026,12523019.0,,,,Health,,,Special Funds,12.523019,False
FAMILY HEALTH SERVICES,FAMILY HEALTH SERVICES,HTH,HTH,Operating,U,2026,101558.0,,,,Health,,,Other Funds,0.101558,False
FAMILY HEALTH SERVICES,FAMILY HEALTH SERVICES,HTH,HTH,Operating,A,2026,38121215.0,,,,Health,,,General Fund,38.121215,False
FAMILY HEALTH SERVICES,FAMILY HEALTH SERVICES,HTH,HTH,Operating,B,2026,17965804.0,,,,Health,,,Special Funds,17.965804,False
FINANCIAL ADMINISTRATION,FINANCIAL ADMINISTRATION,BUF,BUF,Operating,T,2026,15957630.0,,,,Government Operations,,,Special Funds,15.95763,False
FINANCIAL ASSISTANCE FOR AGRICULTURE,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,AGR,Operating,W,2026,5500000.0,,,,Economic Development,,,Special Funds,5.5,False
FINANCIAL SERVICES REGULATION,FINANCIAL SERVICES REGULATION,CCA,CCA,Operating,T,2026,301000.0,,,,Individual Rights,,,Special Funds,0.301,False
FOREST AND OUTDOOR RECREATION,FOREST AND OUTDOOR RECREATION,LNR,LNR,Operating,W,2026,913329.0,,,,Culture and Recreation,,,Special Funds,0.913329,False
FOREST AND OUTDOOR RECREATION,FOREST AND OUTDOOR RECREATION,LNR,LNR,Operating,A,2026,5396897.0,,,,Culture and Recreation,,,General Fund,5.396897,False
FOREST AND OUTDOOR RECREATION,FOREST AND OUTDOOR RECREATION,LNR,LNR,Operating,B,2026,917145.0,,,,Culture and Recreation,,,Special Funds,0.917145,False
FORESTRY,RESOURCE MANAGEMENT AND DEVELOPMENT,LNR,LNR,Operating,A,2026,8808994.0,,,,Economic Development,,,General Fund,8.808994,False
FORESTRY - RESOURCE MANAGEMENT AND DEVELOPMENT,FORESTRY - RESOURCE MANAGEMENT AND DEVELOPMENT,LNR,LNR,Operating,B,2026,7100000.0,,,,Economic Development,,,Special Funds,7.1,False
FORESTRY - RESOURCE MANAGEMENT AND DEVELOPMENT,FORESTRY - RESOURCE MANAGEMENT AND DEVELOPMENT,LNR,LNR,Operating,B,2026,2455475.0,,,,Economic Development,,,Special Funds,2.455475,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,TRN,TRN,Operating,R,2026,743067.0,,,,Transportation,,,Other Funds,0.743067,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,TRN,TRN,Operating,A,2026,12784696.0,,,,Transportation,,,General Fund,12.784696,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,TRN,TRN,Operating,A,2026,1214379.0,,,,Transportation,,,General Fund,1.214379,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,HTH,HTH,Operating,B,2026,684932.0,,,,Health,,,Special Funds,0.684932,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,LBR,LBR,Operating,B,2026,200000.0,,,,Employment,,,Special Funds,0.2,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,LBR,LBR,Operating,B,2026,6000000.0,,,,Employment,,,Special Funds,6.0,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,TRN,TRN,Operating,B,2026,33851577.0,,,,Transportation,,,Special Funds,33.851577,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,LAW,LAW,Operating,U,2026,5000000.0,,,,Public Safety,,,Other Funds,5.0,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,AGS,AGS,Capital Improvement,B,2026,64750000.0,,,,Public Safety,,,Special Funds,64.75,True
GENERAL ADMINISTRATION,DHS,HMS,HMS,Operating,A,2026,18703261.0,,,,Human Services,,,General Fund,18.703261,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,PSD,PSD,Operating,T,2026,75065.0,,,,Public Safety,,,Special Funds,0.075065,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,PSD,PSD,Operating,B,2026,1331967.0,,,,Public Safety,,,Special Funds,1.331967,False
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,LAW,LAW,Capital Improvement,B,2026,3000000.0,,,,Public Safety,,,Special Funds,3.0,True
GENERAL ADMINISTRATION,GENERAL ADMINISTRATION,HTH,HTH,Operating,A,2026,5275000.0,,,,Health,,,General Fund,5.275,False
GENERAL ADMINISTRATION - DHS,GENERAL ADMINISTRATION - DHS,HMS,HMS,Capital Improvement,B,2026,10000000.0,,,,Human Services,,,Special Funds,10.0,True
GENERAL ADMINISTRATION - DHS,GENERAL ADMINISTRATION - DHS,HMS,HMS,Operating,A,2026,17288921.0,,,,Human Services,,,General Fund,17.288921,False
GENERAL ADMINISTRATION FOR AGRICULTURE,GENERAL ADMINISTRATION FOR AGRICULTURE,AGS,AGS,Capital Improvement,B,2026,1900000.0,,,,Economic Development,,,Special Funds,1.9,True
GENERAL ADMINISTRATIVE SERVICES,GENERAL ADMINISTRATIVE SERVICES,AGS,AGS,Capital Improvement,B,2026,35000000.0,,,,Government Operations,,,Special Funds,35.0,True
GENERAL ASSISTANCE PAYMENTS,GENERAL ASSISTANCE PAYMENTS,HMS,HMS,Operating,B,2026,3000000.0,,,,Human Services,,,Special Funds,3.0,False
