program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Capital Improvement,C,2027,2000000.0,,,,Government Operations,,,General Obligation Bond Fund
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,AGS,Operating,A,2027,26987995.0,,,,Government Operations,,,General Funds
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,AGS,Operating,W,2027,25706793.0,,,,Government Operations,,,Revolving Funds
AGS211,LAND SURVEY,AGS,AGS,Operating,U,2027,285000.0,,,,Government Operations,,,Interdepartmental Transfers
AGS211,LAND SURVEY,AGS,AGS,Operating,A,2027,914121.0,,,,Government Operations,,,General Funds
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,AGS,Capital Improvement,C,2027,4000.0,,,,Government Operations,,,General Obligation Bond Fund
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,AGS,Operating,W,2027,4000000.0,,,,Government Operations,,,Revolving Funds
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,AGS,Operating,A,2027,8112911.0,,,,Government Operations,,,General Funds
AGS223,OFFICE LEASING,AGS,AGS,Operating,A,2027,7178040.0,,,,Government Operations,,,General Funds
AGS223,OFFICE LEASING,AGS,AGS,Operating,U,2027,5500000.0,,,,Government Operations,,,Interdepartmental Transfers
AGS231,CENTRAL SERVICES - CUSTODIAL SERVICES,AGS,AGS,Operating,U,2027,1699084.0,,,,Government Operations,,,Interdepartmental Transfers
AGS231,CENTRAL SERVICES - CUSTODIAL SERVICES,AGS,AGS,Operating,A,2027,25844638.0,,,,Government Operations,,,General Funds
AGS232,CENTRAL SERVICES - GROUNDS MAINTENANCE,AGS,AGS,Operating,A,2027,2669822.0,,,,Government Operations,,,General Funds
AGS233,CENTRAL SERVICES - BUILDING REPAIRS AND ALTERATIONS,AGS,AGS,Operating,A,2027,3693069.0,,,,Government Operations,,,General Funds
AGS234,CENTRAL SERVICES - CEMETERY MANAGEMENT OFFICE,AGS,AGS,Operating,A,2027,1167000.0,,,,Government Operations,,,General Funds
AGS240,STATE PROCUREMENT,AGS,AGS,Operating,A,2027,2205274.0,,,,Government Operations,,,General Funds
AGS244,SURPLUS PROPERTY MANAGEMENT,AGS,AGS,Operating,W,2027,2006803.0,,,,Government Operations,,,Revolving Funds
AGS251,AUTOMOTIVE MANAGEMENT - MOTOR POOL,AGS,AGS,Operating,W,2027,3539054.0,,,,Government Operations,,,Revolving Funds
AGS252,AUTOMOTIVE MANAGEMENT - PARKING CONTROL,AGS,AGS,Operating,W,2027,4561089.0,,,,Government Operations,,,Revolving Funds
AGS807,"SCHOOL R&M, NEIGHBOR ISLAND DISTRICTS",AGS,AGS,Operating,A,2027,6951567.0,,,,Education,,,General Funds
AGS807,"SCHOOL R&M, NEIGHBOR ISLAND DISTRICTS",AGS,AGS,Operating,U,2027,2346640.0,,,,Education,,,Interdepartmental Transfers
AGS871,CAMPAIGN SPENDING COMMISSION,AGS,AGS,Operating,A,2027,1027919.0,,,,Government Operations,,,General Funds
AGS871,CAMPAIGN SPENDING COMMISSION,AGS,AGS,Operating,T,2027,1043732.0,,,,Government Operations,,,Trust Funds
AGS879,OFFICE OF ELECTIONS,AGS,AGS,Operating,A,2027,2595761.0,,,,Government Operations,,,General Funds
AGS879,OFFICE OF ELECTIONS,AGS,AGS,Operating,N,2027,99694.0,,,,Government Operations,,,Federal Funds
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,AGS,Operating,A,2027,14432957.0,,,,Culture and Recreation,,,General Funds
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,AGS,Operating,B,2027,3335150.0,,,,Culture and Recreation,,,Special Funds
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,AGS,Operating,N,2027,992771.0,,,,Culture and Recreation,,,Federal Funds
AGS891,ENHANCED 911 BOARD,AGS,AGS,Operating,B,2027,14035349.0,,,,Government Operations,,,Special Funds
AGS901,GENERAL ADMINISTRATIVE SERVICES,AGS,AGS,Operating,A,2027,5904935.0,,,,Government Operations,,,General Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,A,2027,45402026.0,,,,Government Operations,,,General Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,N,2027,11641670.0,,,,Government Operations,,,Federal Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,T,2027,4065177.0,,,,Government Operations,,,Trust Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,U,2027,21765719.0,,,,Government Operations,,,Interdepartmental Transfers
ATG100,LEGAL SERVICES,ATG,ATG,Operating,W,2027,3539882.0,,,,Government Operations,,,Revolving Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,P,2027,5005104.0,,,,Government Operations,,,Other Federal Funds
ATG100,LEGAL SERVICES,ATG,ATG,Operating,B,2027,6542845.0,,,,Government Operations,,,Special Funds
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,ATG,Operating,A,2027,2497809.0,,,,Public Safety,,,General Funds
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,ATG,Operating,P,2027,1204841.0,,,,Public Safety,,,Other Federal Funds
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,ATG,Operating,W,2027,4370515.0,,,,Public Safety,,,Revolving Funds
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,ATG,Operating,P,2027,20006088.0,,,,Human Services,,,Other Federal Funds
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,ATG,Operating,T,2027,2231224.0,,,,Human Services,,,Trust Funds
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,ATG,Operating,A,2027,5448469.0,,,,Human Services,,,General Funds
BED100,STRATEGIC MARKETING AND SUPPORT,BED,BED,Operating,A,2027,3893040.0,,,,Economic Development,,,General Funds
BED100,STRATEGIC MARKETING AND SUPPORT,BED,BED,Operating,W,2027,1823499.0,,,,Economic Development,,,Revolving Funds
BED100,STRATEGIC MARKETING AND SUPPORT,BED,BED,Operating,P,2027,700000.0,,,,Economic Development,,,Other Federal Funds
BED105,CREATIVE INDUSTRIES DIVISION,BED,BED,Operating,A,2027,1921494.0,,,,Economic Development,,,General Funds
BED105,CREATIVE INDUSTRIES DIVISION,BED,BED,Operating,B,2027,1080000.0,,,,Economic Development,,,Special Funds
BED107,FOREIGN TRADE ZONE,BED,BED,Operating,B,2027,2796043.0,,,,Economic Development,,,Special Funds
BED113,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,BED,Operating,A,2027,3696660.0,,,,Economic Development,,,General Funds
BED113,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,BED,Operating,B,2027,14000000.0,,,,Economic Development,,,Special Funds
BED114,HAWAII TOURISM AUTHORITY - BRANDING AND MARKETING,BED,BED,Operating,A,2027,39249201.0,,,,Economic Development,,,General Funds
BED115,HAWAII TOURISM AUTHORITY – SPORTS AND SIGNATURE EVENTS,BED,BED,Operating,A,2027,7318075.0,,,,Economic Development,,,General Funds
BED116,HAWAII TOURISM AUTHORITY – DESTINATION STEWARDSHIP AND,BED,BED,Operating,A,2027,7923883.0,,,,Economic Development,,,General Funds
BED117,HAWAII TOURISM AUTHORITY – REGENERATIVE TOURISM DEVELOPMENT,BED,BED,Operating,A,2027,3762181.0,,,,Economic Development,,,General Funds
BED118,HAWAII TOURISM AUTHORITY – WORKFORCE DEVELOPMENT,BED,BED,Operating,A,2027,1050000.0,,,,Economic Development,,,General Funds
BED120,HAWAII STATE ENERGY OFFICE,BED,BED,Operating,B,2027,795000.0,,,,Economic Development,,,Special Funds
BED120,HAWAII STATE ENERGY OFFICE,BED,BED,Operating,A,2027,2571816.0,,,,Economic Development,,,General Funds
BED120,HAWAII STATE ENERGY OFFICE,BED,BED,Operating,T,2027,7146250.0,,,,Economic Development,,,Trust Funds
BED130,ECONOMIC PLANNING AND RESEARCH,BED,BED,Operating,A,2027,5744533.0,,,,Government Operations,,,General Funds
BED130,ECONOMIC PLANNING AND RESEARCH,BED,BED,Operating,P,2027,864351.0,,,,Government Operations,,,Other Federal Funds
BED138,HAWAII GREEN INFRASTRUCTURE AUTHORITY,BED,BED,Operating,P,2027,444261.0,,,,Economic Development,,,Other Federal Funds
BED138,HAWAII GREEN INFRASTRUCTURE AUTHORITY,BED,BED,Operating,B,2027,86639653.0,,,,Economic Development,,,Special Funds
BED142,GENERAL SUPPORT FOR ECONOMIC DEVELOPMENT,BED,BED,Operating,A,2027,3802952.0,,,,Economic Development,,,General Funds
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,W,2027,2017203.0,,,,Economic Development,,,Revolving Funds
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,B,2027,1604258.0,,,,Economic Development,,,Special Funds
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,A,2027,4701795.0,,,,Economic Development,,,General Funds
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,P,2027,994214.0,,,,Economic Development,,,Other Federal Funds
BED144,STATEWIDE PLANNING AND COORDINATION,BED,BED,Operating,N,2027,2041871.0,,,,Government Operations,,,Federal Funds
BED144,STATEWIDE PLANNING AND COORDINATION,BED,BED,Operating,A,2027,4280161.0,,,,Government Operations,,,General Funds
BED144,STATEWIDE PLANNING AND COORDINATION,BED,BED,Operating,W,2027,2000000.0,,,,Government Operations,,,Revolving Funds
BED146,NATURAL ENERGY LABORATORY OF HAWAII AUTHORITY,BED,BED,Operating,B,2027,7929310.0,,,,Economic Development,,,Special Funds
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,BED,Operating,B,2027,2554972.0,,,,Economic Development,,,Special Funds
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,BED,Capital Improvement,C,2027,29450000.0,,,,Economic Development,,,General Obligation Bond Fund
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,BED,Operating,A,2027,1526750.0,,,,Economic Development,,,General Funds
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Operating,N,2027,3100000.0,,,,Economic Development,,,Federal Funds
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Operating,W,2027,15889058.0,,,,Economic Development,,,Revolving Funds
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Operating,P,2027,3000000.0,,,,Economic Development,,,Other Federal Funds
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Capital Improvement,C,2027,140000000.0,,,,Economic Development,,,General Obligation Bond Fund
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Capital Improvement,C,2027,5150000.0,,,,Economic Development,,,General Obligation Bond Fund
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Operating,W,2027,4048264.0,,,,Economic Development,,,Revolving Funds
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Operating,U,2027,82126.0,,,,Economic Development,,,Interdepartmental Transfers
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Operating,A,2027,4823166.0,,,,Economic Development,,,General Funds
BED180,SPECTATOR EVENTS & SHOWS -ALOHA STADIUM,BED,BED,Operating,B,2027,8772356.0,,,,Culture and Recreation,,,Special Funds
BUF101,DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,BUF,BUF,Operating,B,2027,427305000.0,,,,Government Operations,,,Special Funds
BUF101,DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,BUF,BUF,Operating,A,2027,13504737.0,,,,Government Operations,,,General Funds
BUF103,VACATION PAYOUT - STATEWIDE,BUF,BUF,Operating,A,2027,9700000.0,,,,Government Operations,,,General Funds
BUF115,FINANCIAL ADMINISTRATION,BUF,BUF,Operating,A,2027,2867681.0,,,,Government Operations,,,General Funds
BUF115,FINANCIAL ADMINISTRATION,BUF,BUF,Operating,T,2027,15957630.0,,,,Government Operations,,,Trust Funds
BUF141,EMPLOYEES’ RETIREMENT SYSTEM,BUF,BUF,Operating,X,2027,25727960.0,,,,Government Operations,,,Other Funds
BUF143,HAWAII EMPLOYER UNION TRUST FUND,BUF,BUF,Operating,T,2027,11337016.0,,,,Government Operations,,,Trust Funds
BUF151,OFFICE OF THE PUBLIC DEFENDER,BUF,BUF,Operating,A,2027,15137691.0,,,,Individual Rights,,,General Funds
BUF721,DEBT SERVICE PAYMENTS - STATE,BUF,BUF,Operating,A,2027,605294407.0,,,,Government Operations,,,General Funds
BUF725,DEBT SERVICE PAYMENTS - DOE,BUF,BUF,Operating,A,2027,521973994.0,,,,Education,,,General Funds
BUF728,DEBT SERVICE PAYMENTS - UH,BUF,BUF,Operating,A,2027,193181876.0,,,,Education,,,General Funds
BUF741,RETIREMENT BENEFITS - STATE,BUF,BUF,Operating,A,2027,522870219.0,,,,Government Operations,,,General Funds
BUF741,RETIREMENT BENEFITS - STATE,BUF,BUF,Operating,U,2027,4000000.0,,,,Government Operations,,,Interdepartmental Transfers
BUF745,RETIREMENT BENEFITS - DOE,BUF,BUF,Operating,A,2027,572505610.0,,,,Education,,,General Funds
BUF748,RETIREMENT BENEFITS - UH,BUF,BUF,Operating,A,2027,224317511.0,,,,Education,,,General Funds
BUF761,HEALTH PREMIUM PAYMENTS - STATE,BUF,BUF,Operating,A,2027,161379104.0,,,,Government Operations,,,General Funds
BUF762,HEALTH PREMIUM PAYMENT FOR ANNUAL REQUIRED CONTRIBUTION (ARC).,BUF,BUF,Operating,A,2027,846891000.0,,,,Government Operations,,,General Funds
BUF765,HEALTH PREMIUM PAYMENTS - DOE,BUF,BUF,Operating,A,2027,191510985.0,,,,Education,,,General Funds
BUF768,HEALTH PREMIUM PAYMENTS - UH,BUF,BUF,Operating,A,2027,70035107.0,,,,Education,,,General Funds
CCA102,CABLE TELEVISION,CCA,CCA,Operating,B,2027,2507752.0,,,,Individual Rights,,,Special Funds
CCA103,"CONSUMER ADVOCATE FOR COMMUNICATION, UTILITIES, AND",CCA,CCA,Operating,B,2027,4944320.0,,,,Individual Rights,,,Special Funds
CCA104,FINANCIAL SERVICES REGULATION,CCA,CCA,Operating,T,2027,301000.0,,,,Individual Rights,,,Trust Funds
CCA104,FINANCIAL SERVICES REGULATION,CCA,CCA,Operating,B,2027,6417109.0,,,,Individual Rights,,,Special Funds
CCA105,PROFESSIONAL AND VOCATIONAL LICENSING,CCA,CCA,Operating,T,2027,2880256.0,,,,Individual Rights,,,Trust Funds
CCA105,PROFESSIONAL AND VOCATIONAL LICENSING,CCA,CCA,Operating,B,2027,9909730.0,,,,Individual Rights,,,Special Funds
CCA106,INSURANCE REGULATORY SERVICES,CCA,CCA,Operating,T,2027,201000.0,,,,Individual Rights,,,Trust Funds
CCA106,INSURANCE REGULATORY SERVICES,CCA,CCA,Operating,B,2027,22746784.0,,,,Individual Rights,,,Special Funds
CCA107,POST-SECONDARY EDUCATION AUTHORIZATION,CCA,CCA,Operating,B,2027,249052.0,,,,Individual Rights,,,Special Funds
CCA110,OFFICE OF CONSUMER PROTECTION,CCA,CCA,Operating,T,2027,100681.0,,,,Individual Rights,,,Trust Funds
CCA110,OFFICE OF CONSUMER PROTECTION,CCA,CCA,Operating,B,2027,3833679.0,,,,Individual Rights,,,Special Funds
CCA111,BUSINESS REGISTRATION AND SECURITIES REGULATION,CCA,CCA,Operating,B,2027,10432895.0,,,,Individual Rights,,,Special Funds
CCA112,REGULATED INDUSTRIES COMPLAINTS OFFICE,CCA,CCA,Operating,B,2027,8930940.0,,,,Individual Rights,,,Special Funds
CCA191,GENERAL SUPPORT,CCA,CCA,Operating,B,2027,12858290.0,,,,Individual Rights,,,Special Funds
CCA901,PUBLIC UTILITIES COMMISSION,CCA,CCA,Operating,B,2027,19777291.0,,,,Individual Rights,,,Special Funds
DEF110,AMELIORATION OF PHYSICAL DISASTERS,DEF,DEF,Operating,P,2027,1430238.0,,,,Public Safety,,,Other Federal Funds
DEF110,AMELIORATION OF PHYSICAL DISASTERS,DEF,DEF,Operating,A,2027,10256912.0,,,,Public Safety,,,General Funds
DEF112,SERVICES TO VETERANS,DEF,DEF,Operating,A,2027,2066978.0,,,,Human Services,,,General Funds
DEF114,HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,DEF,DEF,Operating,A,2027,3885050.0,,,,Education,,,General Funds
DEF114,HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,DEF,DEF,Operating,P,2027,6482477.0,,,,Education,,,Other Federal Funds
DEF116,HAWAII ARMY AND AIR NATIONAL GUARD,DEF,DEF,Operating,P,2027,40210106.0,,,,Public Safety,,,Other Federal Funds
DEF116,HAWAII ARMY AND AIR NATIONAL GUARD,DEF,DEF,Operating,A,2027,7081247.0,,,,Public Safety,,,General Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,AGS,AGS,Capital Improvement,C,2027,6500000.0,,,,Public Safety,,,General Obligation Bond Fund
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,P,2027,22497034.0,,,,Public Safety,,,Other Federal Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,AGS,AGS,Capital Improvement,P,2027,1500000.0,,,,Public Safety,,Investment Capital - Fund Type: P,Other Federal Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,A,2027,14097375.0,,,,Public Safety,,,General Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,B,2027,500000.0,,,,Public Safety,,,Special Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,W,2027,500000.0,,,,Public Safety,,,Revolving Funds
DEF118,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,N,2027,4156958.0,,,,Public Safety,,,Federal Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Capital Improvement,C,2027,46500000.0,,,,Education,,,General Obligation Bond Fund
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,N,2027,167203642.0,,,,Education,,,Federal Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,T,2027,13390000.0,,,,Education,,,Trust Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,U,2027,7495605.0,,,,Education,,,Interdepartmental Transfers
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,A,2027,1319319292.0,,,,Education,,,General Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,W,2027,3239301.0,,,,Education,,,Revolving Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,P,2027,21414657.0,,,,Education,,,Other Federal Funds
EDN100,SCHOOL-BASED BUDGETING,EDN,EDN,Operating,B,2027,5251693.0,,,,Education,,,Special Funds
EDN150,SPECIAL EDUCATION AND STUDENT SUPPORT SERVICES,EDN,EDN,Operating,P,2027,5950000.0,,,,Education,,,Other Federal Funds
EDN150,SPECIAL EDUCATION AND STUDENT SUPPORT SERVICES,EDN,EDN,Operating,W,2027,11000000.0,,,,Education,,,Revolving Funds
EDN150,SPECIAL EDUCATION AND STUDENT SUPPORT SERVICES,EDN,EDN,Operating,B,2027,250000.0,,,,Education,,,Special Funds
EDN150,SPECIAL EDUCATION AND STUDENT SUPPORT SERVICES,EDN,EDN,Operating,A,2027,525281027.0,,,,Education,,,General Funds
EDN150,SPECIAL EDUCATION AND STUDENT SUPPORT SERVICES,EDN,EDN,Operating,N,2027,61584267.0,,,,Education,,,Federal Funds
EDN200,INSTRUCTIONAL SUPPORT,EDN,EDN,Operating,A,2027,93374921.0,,,,Education,,,General Funds
EDN200,INSTRUCTIONAL SUPPORT,EDN,EDN,Operating,N,2027,500000.0,,,,Education,,,Federal Funds
EDN200,INSTRUCTIONAL SUPPORT,EDN,EDN,Operating,P,2027,273794.0,,,,Education,,,Other Federal Funds
EDN300,STATE ADMINISTRATION,EDN,EDN,Operating,A,2027,47007968.0,,,,Education,,,General Funds
EDN300,STATE ADMINISTRATION,EDN,EDN,Operating,N,2027,112140.0,,,,Education,,,Federal Funds
EDN300,STATE ADMINISTRATION,EDN,EDN,Operating,P,2027,3807440.0,,,,Education,,,Other Federal Funds
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,N,2027,74600000.0,,,,Education,,,Federal Funds
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,R,2027,150000.0,,,,Education,,,Private Contributions
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,B,2027,44200920.0,,,,Education,,,Special Funds
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,P,2027,1000000.0,,,,Education,,,Other Federal Funds
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,W,2027,11597927.0,,,,Education,,,Revolving Funds
EDN400,SCHOOL SUPPORT,EDN,EDN,Operating,A,2027,423937360.0,,,,Education,,,General Funds
EDN407,PUBLIC LIBRARIES,EDN,EDN,Operating,B,2027,4000000.0,,,,Education,,,Special Funds
EDN407,PUBLIC LIBRARIES,AGS,AGS,Capital Improvement,C,2027,25000000.0,,,,Education,,,General Obligation Bond Fund
EDN407,PUBLIC LIBRARIES,EDN,EDN,Operating,N,2027,2000000.0,,,,Education,,,Federal Funds
EDN407,PUBLIC LIBRARIES,EDN,EDN,Operating,A,2027,47632130.0,,,,Education,,,General Funds
